"","latin_DOF_underscores","Migration_a3_DOF","foraging_guild_consensus"
"1","Accipiter_nisus","sedentary and short-distance","Diurnal raptors"
"2","Aquila_chrysaetos","sedentary","Diurnal raptors"
"3","Astur_gentilis","sedentary","Diurnal raptors"
"4","Buteo_buteo","sedentary and short-distance","Diurnal raptors"
"5","Circus_aeruginosus","short-and long-distance","Diurnal raptors"
"6","Circus_cyaneus","short-distance","Diurnal raptors"
"7","Circus_pygargus","long-distance","Diurnal raptors"
"8","Haliaeetus_albicilla","sedentary and short-distance","Diurnal raptors"
"9","Milvus_milvus","sedentary and short-distance","Diurnal raptors"
"10","Pandion_haliaetus","long-distance","Diurnal raptors"
"11","Pernis_apivorus","long-distance","Diurnal raptors"
"12","Anas_acuta","short-distance","Dabbling ducks"
"13","Anas_crecca","short-distance","Dabbling ducks"
"14","Anas_platyrhynchos","sedentary and short-distance","Dabbling ducks"
"15","Anser_anser","sedentary and short-distance","Grazing waterfowl"
"16","Aythya_ferina","short-distance","Diving ducks"
"17","Aythya_fuligula","short-distance","Diving ducks"
"18","Branta_leucopsis","short-distance","Grazing waterfowl"
"19","Bucephala_clangula","sedentary","Diving ducks"
"20","Cygnus_cygnus","sedentary and short-distance","Grazing waterfowl"
"21","Cygnus_olor","sedentary and short-distance","Grazing waterfowl"
"22","Mareca_penelope","short-distance","Grazing waterfowl"
"23","Mareca_strepera","short-distance","Dabbling ducks"
"24","Mergus_merganser","short-distance","Aquatic pursuers"
"25","Mergus_serrator","short-distance","Aquatic pursuers"
"26","Somateria_mollissima","short-distance","Diving ducks"
"27","Spatula_clypeata","short-distance","Dabbling ducks"
"28","Spatula_querquedula","long-distance","Dabbling ducks"
"29","Tadorna_tadorna","short-distance","Dabbling ducks"
"30","Apus_apus","long-distance","Aerial insectivores"
"31","Caprimulgus_europaeus","long-distance","Nigthjars"
"32","Actitis_hypoleucos","long-distance","Scolopacids"
"33","Anarhynchus_alexandrinus","short-and long-distance","Plovers"
"34","Arenaria_interpres","short-distance","Scolopacids"
"35","Calidris_alpina","long-distance","Scolopacids"
"36","Calidris_pugnax","long-distance","Scolopacids"
"37","Cepphus_grylle","sedentary and short-distance","Aquatic pursuers"
"38","Charadrius_dubius","short-and long-distance","Plovers"
"39","Charadrius_hiaticula","short-distance","Plovers"
"40","Chlidonias_niger","long-distance","Terns"
"41","Chroicocephalus_ridibundus","short-distance","Gulls"
"42","Gallinago_gallinago","short-distance","Scolopacids"
"43","Gelochelidon_nilotica","long-distance","Terns"
"44","Haematopus_ostralegus","short-distance","Plovers"
"45","Himantopus_himantopus","long-distance","Plovers"
"46","Ichthyaetus_melanocephalus","short-distance","Gulls"
"47","Larus_argentatus","sedentary and short-distance","Gulls"
"48","Larus_canus","sedentary and short-distance","Gulls"
"49","Larus_fuscus","short-and long-distance","Gulls"
"50","Larus_marinus","sedentary and short-distance","Gulls"
"51","Limosa_limosa","long-distance","Scolopacids"
"52","Numenius_arquata","short-distance","Scolopacids"
"53","Pluvialis_apricaria","short-distance","Plovers"
"54","Recurvirostra_avosetta","short-and long-distance","Plovers"
"55","Rissa_tridactyla","long-distance","Gulls"
"56","Scolopax_rusticola","sedentary and short-distance","Scolopacids"
"57","Sterna_hirundo","long-distance","Terns"
"58","Sterna_paradisaea","long-distance","Terns"
"59","Sternula_albifrons","long-distance","Terns"
"60","Thalasseus_sandvicensis","short-and long-distance","Terns"
"61","Tringa_glareola","long-distance","Scolopacids"
"62","Tringa_ochropus","short-and long-distance","Scolopacids"
"63","Tringa_totanus","short-distance","Scolopacids"
"64","Vanellus_vanellus","short-distance","Plovers"
"65","Ciconia_ciconia","long-distance","Wading birds"
"66","Columba_oenas","short-distance","Columbids"
"67","Columba_palumbus","sedentary and short-distance","Columbids"
"68","Streptopelia_decaocto","sedentary","Columbids"
"69","Streptopelia_turtur","long-distance","Columbids"
"70","Alcedo_atthis","sedentary","Kingfishers"
"71","Cuculus_canorus","long-distance","Cuckoos"
"72","Falco_peregrinus","sedentary and short-distance","Diurnal raptors"
"73","Falco_subbuteo","long-distance","Diurnal raptors"
"74","Falco_tinnunculus","sedentary and short-distance","Diurnal raptors"
"75","Coturnix_coturnix","short-and long-distance","Gallinaceous birds"
"76","Lyrurus_tetrix","sedentary","Gallinaceous birds"
"77","Perdix_perdix","sedentary","Gallinaceous birds"
"78","Crex_crex","long-distance","Rails"
"79","Fulica_atra","sedentary and short-distance","Rails"
"80","Gallinula_chloropus","sedentary and short-distance","Rails"
"81","Grus_grus","sedentary and short-distance","Wading birds"
"82","Porzana_porzana","long-distance","Rails"
"83","Rallus_aquaticus","sedentary and short-distance","Rails"
"84","Acanthis_flammea","short-distance","Passerine seedeaters"
"85","Acrocephalus_arundinaceus","long-distance","Marsh warblers"
"86","Acrocephalus_palustris","long-distance","Marsh warblers"
"87","Acrocephalus_schoenobaenus","long-distance","Marsh warblers"
"88","Acrocephalus_scirpaceus","long-distance","Marsh warblers"
"89","Aegithalos_caudatus","sedentary","Tit-like birds"
"90","Alauda_arvensis","sedentary and short-distance","Open-land insectivores"
"91","Anthus_campestris","long-distance","Open-land insectivores"
"92","Anthus_petrosus","sedentary and short-distance","Open-land insectivores"
"93","Anthus_pratensis","short-distance","Open-land insectivores"
"94","Anthus_trivialis","long-distance","Low flycatching feeders"
"95","Carduelis_carduelis","sedentary and short-distance","Passerine seedeaters"
"96","Carpodacus_erythrinus","long-distance","Passerine seedeaters"
"97","Certhia_brachydactyla","sedentary","Tit-like birds"
"98","Certhia_familiaris","sedentary","Tit-like birds"
"99","Chloris_chloris","sedentary and short-distance","Passerine seedeaters"
"100","Cinclus_cinclus","short-distance","Dippers"
"101","Coccothraustes_coccothraustes","sedentary","Passerine seedeaters"
"102","Coloeus_monedula","sedentary and short-distance","Omnivorous corvids"
"103","Corvus_corax","sedentary","Omnivorous corvids"
"104","Corvus_cornix","sedentary","Omnivorous corvids"
"105","Corvus_corone","sedentary","Omnivorous corvids"
"106","Corvus_frugilegus","sedentary","Omnivorous corvids"
"107","Curruca_communis","long-distance","Foliage gleaners"
"108","Curruca_curruca","long-distance","Foliage gleaners"
"109","Curruca_nisoria","long-distance","Foliage gleaners"
"110","Cyanistes_caeruleus","sedentary","Tit-like birds"
"111","Delichon_urbicum","long-distance","Aerial insectivores"
"112","Emberiza_calandra","sedentary","Buntings"
"113","Emberiza_citrinella","sedentary","Buntings"
"114","Emberiza_schoeniclus","sedentary and short-distance","Buntings"
"115","Erithacus_rubecula","sedentary","Low flycatching feeders"
"116","Ficedula_hypoleuca","long-distance","Flycatchers"
"117","Ficedula_parva","long-distance","Flycatchers"
"118","Fringilla_coelebs","sedentary and short-distance","Foliage gleaners"
"119","Fringilla_montifringilla","short-distance","Foliage gleaners"
"120","Galerida_cristata","sedentary","Open-land insectivores"
"121","Garrulus_glandarius","sedentary","Omnivorous corvids"
"122","Hippolais_icterina","long-distance","Foliage gleaners"
"123","Hirundo_rustica","long-distance","Aerial insectivores"
"124","Lanius_collurio","long-distance","Shrikes"
"125","Lanius_excubitor","sedentary","Shrikes"
"126","Linaria_cannabina","short-distance","Passerine seedeaters"
"127","Locustella_fluviatilis","long-distance","Marsh warblers"
"128","Locustella_luscinioides","long-distance","Marsh warblers"
"129","Locustella_naevia","long-distance","Marsh warblers"
"130","Lophophanes_cristatus","sedentary","Tit-like birds"
"131","Loxia_curvirostra","sedentary and short-distance","Passerine seedeaters"
"132","Loxia_pytyopsittacus","sedentary","Passerine seedeaters"
"133","Lullula_arborea","short-distance","Open-land insectivores"
"134","Luscinia_luscinia","long-distance","Low flycatching feeders"
"135","Luscinia_megarhynchos","long-distance","Low flycatching feeders"
"136","Luscinia_svecica","short-distance","Low flycatching feeders"
"137","Motacilla_alba","short-distance","Open-land insectivores"
"138","Motacilla_cinerea","sedentary and short-distance","Open-land insectivores"
"139","Motacilla_flava","long-distance","Open-land insectivores"
"140","Muscicapa_striata","long-distance","Flycatchers"
"141","Nucifraga_caryocatactes","sedentary","Omnivorous corvids"
"142","Oenanthe_oenanthe","long-distance","Low flycatching feeders"
"143","Oriolus_oriolus","long-distance","Orioles"
"144","Panurus_biarmicus","sedentary","Reedlings"
"145","Parus_major","sedentary and short-distance","Tit-like birds"
"146","Passer_domesticus","sedentary","Passerine seedeaters"
"147","Passer_montanus","sedentary","Passerine seedeaters"
"148","Periparus_ater","sedentary","Tit-like birds"
"149","Phoenicurus_ochruros","sedentary and short-distance","Low flycatching feeders"
"150","Phoenicurus_phoenicurus","long-distance","Low flycatching feeders"
"151","Phylloscopus_collybita","short-distance","Foliage gleaners"
"152","Phylloscopus_sibilatrix","long-distance","Foliage gleaners"
"153","Phylloscopus_trochiloides","long-distance","Foliage gleaners"
"154","Phylloscopus_trochilus","long-distance","Foliage gleaners"
"155","Pica_pica","sedentary","Omnivorous corvids"
"156","Poecile_montanus","sedentary","Tit-like birds"
